Module Name,Type,Weight (N),Center of Mass (mm),Center of Buoyancy (mm),Buoyancy (N),Height (mm),Radius (mm),Bare Bones,Bare Bones + Buoyancy Engine,+ Vision,+ Arm,Final Vehicle
Comm Housing,Module,66.5205309,104.5135,107.95,115.9417861,215.9,114.3,1874.87,1874.87,1874.87,1874.87,1874.87
Control Housing,Module,61.9248402,103.4132,107.95,116.0435775,215.9,114.3,1592,1592,1592,1592,1592
Buoyancy Vessel,Varying,149.43573|447.9944472,112.4137,123.9172,353.9052257,255.4,,NA,911.4,911.4,911.4,911.4
Battery Box,Module,1053.292146,133.024,148.8589,1153.316962,275,,1226.4,1226.4,1226.4,1226.4,1226.4
Frame Port,Wall,393.6207564,1014.427,1014.427,413.4671546,2150,,0,0,0,0,0
Frame Starboard,Wall,389.2542273,1006.9197,1006.9197,408.8804844,2150,,0,0,0,0,0
Battery Plate,Module,146.9786193,12.7,12.7,154.389302,25.4,,1201,1201,1201,1201,1201
Buoyancy Plate,Module,102.9724308,12.7,12.7,108.1643319,25.4,,886,886,886,886,886
Comm Plate,Module,123.2634348,12.7,12.7,129.4784353,25.4,,1836,1836,1836,1836,1836
Arm Plate,Module,120.5693145,12.7,12.7,126.6484425,25.4,,406,406,406,406,406
Arm Module,Module,353.0276631,73.02,66.675,238.1829708,133.35,,NA,NA,NA,272.65,272.65
Bottom Plate,Module,52.4538738,12.7,12.7,55.09857367,25.4,,104.7,104.7,104.7,104.7,104.7
Hopper,Varying,15.74543259|138.37,135.4264,135.4264,16.53931969,285.75,,NA,NA,NA,NA,593.9
,,,,,,,,,,,,
Vehicle Height,2150,,,,,,,,,,,
Water Height,2200,,,,,,,,,,,
Weight Height,130,,,,,,,,,,,
Buoyancy Height,1861,,,,,,,,,,,
Vehicle Area,630000,,,,,,,,,,,
